etd_file_id,advisor,author,degree,program,title,university,year
425,,"ralph, ruth s.",ph.d.,educational psychology,the effects of general semantics on the personality adjustment of elementary school children,"university of maryland, college park",1971
426,,"kamel, ihab labib",ph.d.,nuclear physics,radiation-induced grafting of styrene to polyethylene and hexatriacontane,"university of maryland, college park",1971
427,,"block, ira",ph.d.,nuclear physics,radiation-induced grafting of butadiene to chlorinated polyethylene and poly(vinyl chloride),"university of maryland, college park",1971
428,,"van houte, samuel",ph.d.,ancient civilizations,the freedmen at pompeii,"university of maryland, college park",1971
429,,"barde, robert elmer",ph.d.,history,the battle of midway: a study in command,"university of maryland, college park",1971
430,,"bell, a. robert",ph.d.,literature,the harrowing of hell: a study of its reception and artistic interpretation in early mediaeval european literature,"university of maryland, college park",1971
431,,"ross, stephen mark",ph.d.,biomedical research,a wavy wall analytical model of muco-ciliary pumping,the johns hopkins university,1971
432,,"fu, james chuan",ph.d.,statistics,on some large-sample methods in statistical point estimation,the johns hopkins university,1971
433,,"jaeger, rudolph john",ph.d.,health,"studies on the extraction, accumulation and metabolism of phthalate esterplasticizers from polyvinyl chloride medical devices",the johns hopkins university,1971
434,,"smith, terence robert",ph.d.,geography,conservation principles and stability in the evolution of drainage systems,the johns hopkins university,1971
435,,"riley, james joseph, jr.",ph.d.,mechanics,computer simulations of turbulent dispersion,the johns hopkins university,1971
436,,"haynes, kingsley edwin",ph.d.,geography,the distribution and arrangement of urban structure and spatial change,the johns hopkins university,1971
437,,"shammas, carole",ph.d.,history,the elizabethan gentlemen adventurers and western planting,the johns hopkins university,1971
438,,"carman, charles henry",ph.d.,fine arts,cigoli studies,the johns hopkins university,1972
439,,"tjaden, garold stephen",ph.d.,computer science,representation and detection of concurrency using ordering-matrices.,the johns hopkins university,1972
440,,"banner, michael leslie",ph.d.,oceanography,an investigation of the role of short waves and wind drift in the interaction between wind and long gravity waves.,the johns hopkins university,1973
441,,"wagman, stephen robert",ph.d.,literature,the living lyre: a study of the poetry of thomas gray,the johns hopkins university,1973
442,,"apitz, elly marie friese",ph.d.,germanic literature,"the poetic development of barthold heirich brockes in his irdisches vergnuegen in gott.""""",the johns hopkins university,1971
443,,"rimbach, james allen",ph.d.,religion,animal imagery in the old testament: some aspects of hebrew poetics,the johns hopkins university,1972
444,,"borukhov, eliyahu",ph.d.,economics,"city size, land use and transportation costs.",the johns hopkins university,1972
445,,"gustafson, jerry w.",ph.d.,economics,an essay on the concept of collective rationality,the johns hopkins university,1972
446,,"boettinger, william james",ph.d.,materials science,surface relief cinemicrography of the unsteady solidification of the lead - tin - cadmium ternary eutectic,the johns hopkins university,1972
447,,"batto, bernard frank",ph.d.,ancient civilizations,studies on women at mari: politics and religion.,the johns hopkins university,1972
448,,"plotkin, howard neil",ph.d.,history,henry draper: a scientific biography,the johns hopkins university,1972
449,,"capozza, dennis robert",ph.d.,economic theory,transportation and the urban economy.,the johns hopkins university,1972
450,,"dussan v., elizabeth b.",ph.d.,mechanical engineering,on the motion of a line common to three different materials,the johns hopkins university,1972
451,,"laguna, glenn alan",ph.d.,mechanical engineering,second sound attenuation in a liquid helium counterflow jet.,california institute of technology,1975
452,,"barbee, james henry",ph.d.,biomedical research,the flow of human blood through capillary tubes with inside diameters between 8.7 and 221 microns,california institute of technology,1971
453,,"hwang, myung kyu",ph.d.,chemical engineering,estimation and control of stochastic chemical systems,california institute of technology,1971
454,,"okoye, josephat kanayo",ph.d.,engineering,characteristics of transverse mixing in open-channel flows,california institute of technology,1971
455,,"silver, richard neil",ph.d.,particle physics,two topics in particle physics: i. tests for helicity conservation and spin-parity selection rules in diffraction dissociaiton. ii. independent production of pions,california institute of technology,1971
456,,"will, clifford martin",ph.d.,physics,theoretical frameworks for testing relativistic gravity; the parametrizedpost-newtonian formalism,california institute of technology,1971
457,,"casperson, lee wendel",ph.d.,optics,modes and spectra of high gain lasers,california institute of technology,1971
458,,"puckett, jason niles, jr.",ph.d.,electrical engineering,an electrical and statistical study of burst noise,california institute of technology,1971
459,,"stroyan, keith duncan",ph.d.,mathematics,applications of model theory to complex analysis,california institute of technology,1971
460,,"thatcher, wayne raymond",ph.d.,geophysics,surface wave propagation and source studies in the gulf of california region,california institute of technology,1972
461,,"owyoung, adelbert",ph.d.,electrical engineering,the origins of the nonlinear refractive indices of liquids and glasses,california institute of technology,1972
462,,"wester, gene ward",ph.d.,electrical engineering,low-frequency characterization of switched dc-dc converters,california institute of technology,1972
463,,"caloyannides, michael akylas",ph.d.,electrical engineering,a mathematical and experimental investigation of microcycle spectral estimates of semiconductor flicker noise,california institute of technology,1972
464,,"shostak, gerson seth",ph.d.,astronomy;astrophysics,aperture synthesis observations of neutral hydrogen in three galaxies,california institute of technology,1972
465,,"chang, daniel pan yih",ph.d.,civil engineering,particle collection from aqueous suspensions by solid and hollow single fibers.,california institute of technology,1973
466,,"harris, daniel charles",ph.d.,chemistry,more fun than anything. (a study of cyclopropenium salts),california institute of technology,1973
467,,"blevins, robert dilworth",ph.d.,mechanics,flow induced vibration of bluff structures.,california institute of technology,1974
468,,"morris, howard cary",ph.d.,mathematics,two pigeon-hole principles and unions of convexly-disjoint sets.,california institute of technology,1974
469,,"shaffer, david bruce",ph.d.,astronomy;astrophysics,the structure of compact radio sources at 10.7 ghz.,california institute of technology,1974
470,,"prosperetti, andrea",ph.d.,physics,viscous and nonlinear effects in the oscillations of drops and bubbles.,california institute of technology,1974
471,,"johnson, william lewis",ph.d.,condensation,superconductivity in metal-semiconductor eutectic alloys.,california institute of technology,1975
472,,"kosecoff, michael alan",ph.d.,mathematics,some problems in nonlinear elasticity.,california institute of technology,1975
473,,"shiu, elias sai wan",ph.d.,mathematics,numerical ranges of powers of operators.,california institute of technology,1975
474,,"brown, thomas carl, jr.",ph.d.,mathematics,a structured design-method for specialized proof procedures.,california institute of technology,1975
475,,"kotsovinos, nikolas evangelos",ph.d.,mechanical engineering,a study of the entrainment and turbulence in a plane buoyant jet.,california institute of technology,1975
476,,"russell, robert l.",ph.d.,vocational education,assessment of department store selling competency,colorado state university,1971
477,,"olsen, john leslie",ph.d.,zoology,"life history of physaloptera rara (hall and wigdor, 1918) in definitive, intermediate, and paratenic hosts",colorado state university,1971
478,,"reed, david ellsworth",ph.d.,microbiology,epizootic bovine abortion: tissue predilection and serologic evaluation of the etiologic agent,colorado state university,1971
479,,"westcott, paul arthur",ph.d.,polymers,"2,2'-bipyrimidine coordination polymers",colorado state university,1971
480,,"al turki, mansoor i.",ph.d.,economics,accelerating agricultural production in saudi arabia,colorado state university,1971
481,,"mcwhorter, david bruce",ph.d.,agricultural engineering,infiltration affected by flow of air,colorado state university,1971
482,,"hunt, john denure",ph.d.,recreation,image--a factor in tourism,colorado state university,1971
483,,"woodmansee, robert george",ph.d.,forestry,soil descriptions and simulation model of potassium cycling in colorado forests,colorado state university,1972
484,,"addink, john william",ph.d.,agricultural engineering,water infiltration under center-pivots.,colorado state university,1972
485,,"kilinc, mustafa yilmaz",ph.d.,civil engineering,mechanics of soil erosion from overland flow generated by simulated rainfall,colorado state university,1972
486,,"nicoletti, john albert, jr.",ph.d.,psychotherapy,anxiety management training,colorado state university,1972
487,,"stockhouse, robert erland, ii",ph.d.,botany,biosystematic studies of oenothera (l.) subgenus pachylophus.,colorado state university,1973
488,,"de long, richard allan",ph.d.,zoology,immunogenetics of salmonid serum proteins.,colorado state university,1973
489,,"nordblom, gerald david",ph.d.,organic chemistry;energy,chlorinated pollutant photodynamics,colorado state university,1973
490,,"niimura, masanobu",ph.d.,fluid dynamics;gases,plasma-solid interface energy transport.,colorado state university,1973
491,,"teotia, jagdish singh",ph.d.,livestock,chemical pasteurization of poultry meat.,colorado state university,1973
492,,"chappell, alonzo",ph.d.,livestock,metabolic fate of nitrogen-15 and carbon-14 labeled betaine.,colorado state university,1973
493,,"acott, howard neil",ph.d.,school administration,reactions of auto mechanics terminees and supervisors to the importance and quality of auto mechanics training.,colorado state university,1973
494,,"creighton, phillip david",ph.d.,ecology,habitat exploitation by an avian ground-foraging guild.,colorado state university,1974
495,,"mendelson, sheldon ray",ph.d.,vocational education,relationship between innovative teachers and student achievement and career aspirations.,colorado state university,1974
496,,"allardice, david ross",ph.d.,economics,economic and legal protection for aquatic habitats in the united states.,colorado state university,1974
497,,"liu, jeong-shwu",ph.d.,civil engineering,verification of a mathematical model for wood joist floor systems.,colorado state university,1974
498,,"narang, rajinder singh",ph.d.,chemistry,induced photolysis of alkyl halides,colorado state university,1972
499,,"henghold, william murray",ph.d.,civil engineering,layered beam vibrations including slip,colorado state university,1972
500,,"crain, william james",ph.d.,vocational education,the development and field testing of a written occupational competency examination for auto mechanic teachers.,colorado state university,1973
